tweet_id	text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1241859979591798784	#عاجل #خادم_الحرمين_الشريفين يصدر أمره بمنع التجول للحد من انتشار #فيروس_كورونا الجديد ابتداءً من الساعة الـ 7 مساءً وحتى الساعة الـ 6 صباحًا لمدة ( 21 ) يومًا من مساء يوم الأثنين 28 رجب 1441هـ، الموافق 23 مارس 2020م. #واس https://t.co/DN0mvdbqsY	yes	1_no_definitely_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1241280764278341633	بعد كل الإجراءات الاحترازية التي تقوم بها #المملكة للحد من انتشار #كورونا . . . هل تؤيد فرض #حظر_تجول في #السعودية من الساعة (٧م) إلى الساعة (٧ص) ابتداء من يوم غدٍ الاحد . . - نعم أُوَيد ( #ريتويت ) ، ولماذا ؟ - لا أُوَيد ( #إعجاب ) ، ولماذا ؟ . .  #انا_مع_حظر_التجول_الاجباري https://t.co/NNgWyCVtuq	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1241740183701258241	تصويت 🔴 .  . هل تعتقد أن ( حظر التجول ) الذي تُطبقه بعض الدول يمنع انتشار فيروس كورونا .. ولماذا ؟. .  . نعم = رتويت  . لا = مفضلة	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1240737069158318082	ما هو دي دعواتنا	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1241706443033784320	#الصحة تعلن عن تسجيل (١١٩) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد١٩). https://t.co/5bSW6YN7FV	yes	1_no_definitely_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1241409236518735875	#كلنا_مسؤول | فريق عمل مسلسل مخرج 7 يقدم مسؤوليته تجاه الوقاية من فيروس #كورونا الجديد بطريقته الخاصة. #التواصل_الحكومي https://t.co/th6ALKYF0c	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1242434059722199040	#الصحة تعلن عن تسجيل (٢٠٥) حالة إصابة جديدة بفيروس #كورونا الجديد(كوفيد١٩) وأول حالة وفاة لمقيم في المدينة المنورة. https://t.co/dQy2I41xse	yes	1_no_definitely_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1241429605434765312	انا كطبيب في الصفوف الاولى لمحاربة كورونا  محروم من رؤية امي وابي واطفالي.                       انتم   من سيحدد متى اراهم  لذلك اتمنى ان تلزم منزلك كي اراهم في اقرب فرصه وكلي لا تطول امد هذه الازمه بجلوسك في بيتك	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1241933991063826432	مصيرنا واحد أمس واليوم وغدًا والطريقة المثلى لمواجهة كورونا الذي ليس له علاج حتى الآن هي التباعد الإجتماعي والحمدلله أن لنا قادة تصرفوا بحكمة وأعلوا من قيمة الإنسان لديهم في هذه الأزمة بشكل فاق بشدة حتى الدول المتقدمة.. ولكن الله يحفظك ما بقى إلا تقولين علقّنا العمرة قبلكم!..	yes	3_not_sure	4_yes_probably_of_interest	2_no_probably_not_harmful	no_no_need_to_check	yes_panic	yes_contains_advice
1240974303283339265	صحيفة newsweek الأمريكية:هل تعرف من الذي اقترح النظافة الشخصية والحجر الصحي أثناء الوباء؟إنه محمد نبي الإسلام قبل 1400 عام. لم يكن أبدا خبيرًا في مسائل الأمراض الفتاكة إلا أن محمد كان لديه نصيحة رائعة لمنع ومكافحة تطور وباء مثل فيروس كورونا لقراءة المقال https://t.co/dJx7dtLB0i	yes	1_no_definitely_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	yes_not_urgent	no_not_harmful	no_not_interesting
